id,customer_name,address,lat,lng,locality,package_count
1,Customer_001,Raheja Mindspace Main Gate Madhapur,17.4359,78.3853,Madhapur,2
2,Customer_002,Cyber Towers Madhapur,17.4400,78.3811,Madhapur,1
3,Customer_003,HITEC City Main Road,17.4485,78.3765,Madhapur,3
4,Customer_004,Inorbit Mall Madhapur,17.4354,78.3866,Madhapur,2
5,Customer_005,Botanical Garden Road Kondapur,17.4609,78.3671,Kondapur,1
6,Customer_006,Durgam Cheruvu Cable Bridge,17.4381,78.3705,Madhapur,2
7,Customer_007,Mindspace IT Park Block 1,17.4368,78.3842,Madhapur,1
8,Customer_008,Cyber Gateway Building 2,17.4319,78.3831,Madhapur,4
9,Customer_009,DLF Building Gachibowli,17.4400,78.3550,Gachibowli,2
10,Customer_010,Nanakramguda Financial District,17.4185,78.3387,Gachibowli,3
11,Customer_011,Gachibowli Indoor Stadium,17.4403,78.3498,Gachibowli,1
12,Customer_012,Lanco Hills Tech Park,17.4198,78.3372,Gachibowli,2
13,Customer_013,Wipro Circle Madhapur,17.4458,78.3836,Madhapur,1
14,Customer_014,Image Gardens Road Madhapur,17.4287,78.3918,Madhapur,3
15,Customer_015,Ayyappa Society Madhapur,17.4494,78.3910,Madhapur,2
16,Customer_016,DLF Cyber City Phase 1,17.4239,78.3460,Gachibowli,2
17,Customer_017,Gachibowli X Roads,17.4404,78.3489,Gachibowli,1
18,Customer_018,IIIT Hyderabad Campus,17.4453,78.3497,Gachibowli,3
19,Customer_019,Botanical Garden Kondapur,17.4623,78.3668,Kondapur,2
20,Customer_020,Kothaguda X Roads,17.4544,78.3648,Kondapur,1
21,Customer_021,Serlingampally Miyapur Road,17.4580,78.3725,Kondapur,2
22,Customer_022,Aparna Cyber Life Kondapur,17.4575,78.3615,Kondapur,3
23,Customer_023,Indira Nagar Gachibowli,17.4329,78.3542,Gachibowli,1
24,Customer_024,Whitefields Kondapur,17.4689,78.3722,Kondapur,2
25,Customer_025,My Home Jewel Manikonda,17.4097,78.3826,Gachibowli,1
26,Customer_026,Kokapet ORR Exit,17.4101,78.3565,Gachibowli,2
27,Customer_027,TCS Synergy Park Gachibowli,17.4267,78.3454,Gachibowli,3
28,Customer_028,Deloitte Building SEZ,17.4175,78.3411,Gachibowli,1
29,Customer_029,Waverock SEZ Campus,17.4298,78.3382,Gachibowli,2
30,Customer_030,KIMS Hospital Kondapur,17.4648,78.3695,Kondapur,1
31,Customer_031,Yashoda Hospital Road Kondapur,17.4692,78.3687,Kondapur,3
32,Customer_032,Hafeezpet Main Road,17.4701,78.3922,Kondapur,2
33,Customer_033,Miyapur Metro Station,17.4950,78.3595,Kukatpally,1
34,Customer_034,BHEL Township Kukatpally,17.4808,78.3876,Kukatpally,2
35,Customer_035,Kukatpally Housing Board,17.4913,78.3945,Kukatpally,3
36,Customer_036,Jyothi Nagar Kukatpally,17.4842,78.4025,Kukatpally,1
37,Customer_037,Allwyn X Roads,17.4958,78.4192,Kukatpally,2
38,Customer_038,Pragathi Nagar Kukatpally,17.4775,78.4112,Kukatpally,1
39,Customer_039,Nizampet X Roads,17.5086,78.3854,Kukatpally,3
40,Customer_040,Bachupally Main Road,17.5403,78.3697,Kukatpally,2
41,Customer_041,Chandanagar ORR,17.4903,78.3483,Kukatpally,1
42,Customer_042,Lingampally Railway Station,17.4899,78.3314,Kukatpally,2
43,Customer_043,Madinaguda Miyapur Road,17.5165,78.3821,Kukatpally,1
44,Customer_044,Suchitra Junction,17.5463,78.5068,Kukatpally,3
45,Customer_045,Jeedimetla Industrial Area,17.5053,78.4476,Kukatpally,2
46,Customer_046,Aparna Sarovar Nallagandla,17.4724,78.3431,Kondapur,1
47,Customer_047,Nanakramguda Serilingampally,17.4212,78.3412,Gachibowli,2
48,Customer_048,Bio Diversity Park Road,17.4312,78.3621,Gachibowli,1
49,Customer_049,Shilpa Park Kondapur,17.4621,78.3587,Kondapur,3
50,Customer_050,Raghavendra Colony Kondapur,17.4556,78.3711,Kondapur,2
51,Customer_051,Kavuri Hills Madhapur,17.4368,78.3925,Madhapur,1
52,Customer_052,Jubilee Enclave Madhapur,17.4439,78.3887,Madhapur,2
53,Customer_053,Silpa Gram Craft Village,17.4453,78.3926,Madhapur,1
54,Customer_054,Cyber Pearl Building Madhapur,17.4421,78.3802,Madhapur,3
55,Customer_055,Gopanpally Village Road,17.4891,78.3252,Kukatpally,2
56,Customer_056,Narsingi ORR Junction,17.3859,78.3712,Gachibowli,1
57,Customer_057,ISB Hyderabad Campus,17.4290,78.3269,Gachibowli,2
58,Customer_058,Telecom Nagar Gachibowli,17.4375,78.3421,Gachibowli,1
59,Customer_059,Guttala Begumpet Kondapur,17.4738,78.3589,Kondapur,3
60,Customer_060,Gafoor Nagar Madhapur,17.4512,78.3972,Madhapur,2